Date,Wellhead_Price,Natural_Gas_Imports_Price,Pipeline_Imports_Price,LNG_Imports_Price,Natural_Gas_Exports_Price,Pipeline_Exports_Price,Liquefied_Gas_Exports_Price,Citygate_Price,Price_of_Gas_Delivered_to_Residential_Consumers,Percent_Total_Residential_Sales,Price_of_Gas_Sold_to_Commercial_Consumers,Percent_Commercial_Deliveries,Industrial_Price,Percent_Industrial_Deliveries,Electric_Power_Price
2017-05-06,,2.28,2.13,4.02,2.57,2.3,15.95,3.75,9.27,96.1,7.22,67.6,3.45,15.2,2.71
2017-04-06,,2.64,2.53,3.74,3.63,3.24,5.16,4.18,11.38,95.20,8.04,65.00,4.19,14.50,3.49
2017-03-06,,2.68,2.57,4.35,3.21,2.97,4.47,3.84,9.91,95.70,7.68,67.80,4.02,15.00,3.52
2017-02-06,,3.14,2.81,6.39,3.79,3.23,5.99,4.10,10.05,95.90,7.89,69.00,4.62,15.10,3.74
2017-01-06,,3.74,3.40,5.56,4.25,3.74,6.44,4.22,9.38,96.00,7.58,70.40,4.90,15.00,4.32
2016-12-06,,3.50,3.31,4.63,3.82,3.65,4.68,3.96,9.07,96.10,7.25,68.20,4.31,14.70,4.16
2016-11-06,,2.70,2.41,4.95,3.00,2.74,4.58,3.90,10.76,96.00,7.60,63.60,3.86,14.50,3.14
2016-10-06,,2.59,2.50,3.10,3.06,3.05,3.65,4.19,13.75,95.90,7.94,60.00,3.87,14.50,3.24
2016-09-06,,2.47,2.42,3.25,3.16,2.99,5.11,4.61,16.82,96.10,8.28,56.20,3.73,14.60,3.19
2016-08-06,,2.42,2.29,3.23,3.13,2.84,5.13,4.37,17.65,95.80,8.25,54.90,3.58,14.70,3.07
2016-07-06,,2.35,2.26,3.21,3.02,2.78,5.63,4.45,16.58,95.90,8.10,57.00,3.57,14.30,3.07
2016-06-06,,1.90,1.76,3.18,2.60,2.39,4.72,3.99,14.49,95.70,7.70,58.10,2.89,14.60,2.77
2016-05-06,,1.55,1.44,3.45,2.15,2.03,4.21,3.46,11.63,95.40,7.29,60.40,2.90,14.60,2.49
2016-04-06,,1.61,1.51,3.30,2.15,2.04,3.96,3.22,9.65,95.60,6.95,65.10,2.99,14.50,2.52
2016-03-06,,1.73,1.55,3.29,2.04,1.93,4.01,3.49,9.21,95.60,7.05,66.80,3.04,15.30,2.33
